!! YAML file for Class AA verbs

gatáa+V+SINGULAR+IMPERATIVE: gatáa
: gatáaga                          gatáa+V+IMMEDIATE+PRESENT
: gatáa'waa'ahlanggan              gatáa+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: gatáa'waa'ahlanggiinii           gatáa+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: gatáa'waaäsaa'ahlans             gatáa+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: gatáa'waa'ahlans                 gatáa+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: gatáa'aawaa'ahlang               gatáa+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: gatáa'aawaa'ahlanggaa            gatáa+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: gatáa'aawaa'ahlanggang           gatáa+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: gatáa'waa'ahl                    gatáa+V+3rd_PERSON_PLURAL+REFLEXIVE
: gatáa'waaäseehl                  gatáa+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: gatáa'ang                        gatáa+V+NEGATIVE+SINGULAR+IMPERATIVE
: gatáa'angga                      gatáa+V+NEGATIVE+IMMEDIATE+PRESENT
: gatáa'ang                        gatáa+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: gatáa'anggang                    gatáa+V+NEGATIVE+SIMPLE+PRESENT
: gatáa'anggan                     gatáa+V+NEGATIVE+DIRECT+PAST
: gatáa'aangaa                     gatáa+V+NEGATIVE+INTERROGATIVE+PAST
: gatáa'aangaan                    gatáa+V+NEGATIVE+INDIRECT+PAST
: gatáa'ans                        gatáa+V+NEGATIVE+RELATIVE
: gatáa'aangaas                    gatáa+V+NEGATIVE+RELATIVE+EVIDENTIAL
: gatáa'angang                     gatáa+V+NEGATIVE+NON_FACTIVE
: gatáa'aangaa.ang                 gatáa+V+NEGATIVE+PAST+NON_FACTIVE
: gatáa'anggang                    gatáa+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: gatáagang'anggang                gatáa+V+NEGATIVE+PRESENT+HABITUAL
: gatáagang'angang                 gatáa+V+NEGATIVE+PRESENT+HABITUAL+NON_FACTIVE
: gatáa'anggiinii                  gatáa+V+NEGATIVE+DIRECT+PAST+HABITUAL
: gatáa'anggaangaa                 gatáa+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: gatáa'anggaangaan                gatáa+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: gatáa'angäsaa                    gatáa+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: gatáa'angäs                      gatáa+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: gatáa'angäsaang                  gatáa+V+NEGATIVE+SIMPLE+FUTURE
: gatáa'angäsga                    gatáa+V+NEGATIVE+IMMEDIATE+FUTURE
: gatáa'angäsaas                   gatáa+V+NEGATIVE+RELATIVE+FUTURE
: gatáa'angäsaa.ang                gatáa+V+NEGATIVE+FUTURE+NON_FACTIVE
: gatáa.ang ñasaa'áng              gatáa+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: gatáa.ang ñasaa'ánggang          gatáa+V+NEGATIVE+NEAR+FUTURE
: gatáa.ang ñasaasdlä'áng          gatáa+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: gatáa.ang ñasaasdlä'ánggang      gatáa+V+NEGATIVE+VERYNEAR+FUTURE
: gatáa'ang'uuj                    gatáa+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: gatáa'ang'uujang                 gatáa+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: gatáa'angäsaa'uujang             gatáa+V+NEGATIVE+RESIGNED_OBLIGATION
: gatáa'ang'us                     gatáa+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: gatáa'ang'ujaa                   gatáa+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: gatáa'ang'uujaangaa              gatáa+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: gatáa'angäsaa'us                 gatáa+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: gatáa'aang'ahlanggang            gatáa+V+NEGATIVE+CERTAIN+PRESENT
: gatáa'aang'ahlanggan             gatáa+V+NEGATIVE+CERTAIN+PAST
: gatáa'aang'ahlanggiinii          gatáa+V+NEGATIVE+CERTAIN+PAST+HABITUAL
: gatáa'angäsaa'ahlans             gatáa+V+NEGATIVE+CERTAIN+FUTURE
: gatáa'aang'ahlans                gatáa+V+NEGATIVE+CERTAIN+RELATIVE
: gatáa'aangaa'ahlang              gatáa+V+NEGATIVE+INTENSIVE+PAST
: gatáa'aangaa'ahlanggaa           gatáa+V+NEGATIVE+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: gatáa'aangaa'ahlanggang          gatáa+V+NEGATIVE+COUNTERFACTUAL+PRESENT
: gatáa'aang'ahl                   gatáa+V+NEGATIVE+REFLEXIVE
: gatáa'angäseehl                  gatáa+V+NEGATIVE+FUTURE+REFLEXIVE+INTERROGATIVE
: gatáa'ang'uu                     gatáa+V+NEGATIVE+PLURAL+IMPERATIVE
: gatáa'ang'waa                    gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: gatáa'ang'waa                    gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: gatáa'ang'waang                  gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: gatáa'ang'wägan                  gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST
: gatáa'ang'aawaa                  gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: gatáa'ang'aawaan                 gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST
: gatáa'ang'waas                   gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE
: gatáa'ang'aawaas                 gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: gatáa'ang'waa.ang                gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+NON_FACTIVE
: gatáa'ang'aawaa.ang              gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: gatáagang'ang'waa                gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PRESENT+HABITUAL
: gatáagang'ang'waang              gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL
: gatáagang'ang'waa.ang            gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+PRESENT+HABITUAL+NON_FACTIVE
: gatáa'ang'wägiinii               gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: gatáa'ang'wägaangaa              gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: gatáa'ang'wägaangaan             gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: gatáa'ang'waaäsaa                gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: gatáa'ang'waaäs                  gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: gatáa'ang'waaäsaang              gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: gatáa'ang'waaäsga                gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: gatáa'ang'waaäsaas               gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: gatáa'ang'waaäsaa.ang            gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: gatáa'waa.ang ñasaa'áng          gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: gatáa'waa.ang ñasaa'ánggang      gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+NEAR+FUTURE
: gatáa'waa.ang ñasaasdlä'áng      gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: gatáa'waa.ang ñasaasdlä'ánggang  gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+VERY+NEAR+FUTURE
: gatáa'ang'waa'uuj                gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: gatáa'ang'waa'uujang             gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: gatáa'ang'waaäsaa'uujang         gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: gatáa'ang'waa'us                 gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: gatáa'ang'waa'ujaa               gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: gatáa'ang'waa'uujaangaa          gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: gatáa'ang'waaäsaa'us             gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: gatáa'ang'waa'ahlanggang         gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: gatáa'ang'waa'ahlanggan          gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST
: gatáa'ang'waa'ahlanggiinii       gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: gatáa'ang'waaäsaa'ahlans         gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: gatáa'ang'waa'ahlans             gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: gatáa'ang'aawaa'ahlang           gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+INTENSIVE+PAST
: gatáa'ang'aawaa'ahlanggaa        gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: gatáa'ang'aawaa'ahlanggang       gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: gatáa'ang'waa'ahl                gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+REFLEXIVE
: gatáa'ang'waaäseehl              gatáa+V+NEGATIVE+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE

! LEXICON CLASS_AAHL_STEM_1

: skyáahl                            skyáahl+V+SINGULAR+IMPERATIVE
: skyáahl                            skyáahl+V+INTERROGATIVE+SIMPLE+PRESENT
: skyáahls                           skyáahl+V+RELATIVE
: skyáahlang                         skyáahl+V+NON_FACTIVE
: skyáahläsaa                        skyáahl+V+INTERROGATIVE+FUTURE+LONG
: skyáahläs                          skyáahl+V+INTERROGATIVE+FUTURE+SHORT
: skyáahläsaang                      skyáahl+V+SIMPLE+FUTURE
: skyáahläsga                        skyáahl+V+IMMEDIATE+FUTURE
: skyáahläsaas                       skyáahl+V+RELATIVE+FUTURE
: skyáahläsaa.ang                    skyáahl+V+FUTURE+NON_FACTIVE
: skyáahlang ñasa'áa                 skyáahl+V+INTERROGATIVE+NEAR+FUTURE
: skyáahlang ñasa'áang               skyáahl+V+NEAR+FUTURE
: skyáahlang ñasaasdláa              skyáahl+V+INTERROGATIVE+VERYNEAR+FUTURE
: skyáahlang ñasaasdláang            skyáahl+V+VERYNEAR+FUTURE
: skyáahl'uuj                        skyáahl+V+BIASED+IMMEDIATE+PRESENT
: skyáahl'uujang                     skyáahl+V+BIASED+SIMPLE+PRESENT
: skyáahläsaa'uujang                 skyáahl+V+RESIGNED_OBLIGATION
: skyáahl'us                         skyáahl+V+BIASED+INTERROGATIVE+PRESENT
: skyáahl'ujaa                       skyáahl+V+BIASED+INTERROGATIVE+PAST
: skyáahl'uujaangaa                  skyáahl+V+BIASED+INTERROGATIVE+PAST+HABITUAL
: skyáahläsaa'us                     skyáahl+V+BIASED+INTERROGATIVE+FUTURE
: skyáahl'ahlanggang                 skyáahl+V+CERTAIN+PRESENT
: skyáahl'ahlanggan                  skyáahl+V+CERTAIN+PAST
: skyáahl'ahlanggiinii               skyáahl+V+CERTAIN+PAST+HABITUAL
: skyáahläsaa'ahlans                 skyáahl+V+CERTAIN+FUTURE
: skyáahl'ahlans                     skyáahl+V+CERTAIN+RELATIVE
: skyáahl'ahl                        skyáahl+V+REFLEXIVE
: skyáahläseehl                      skyáahl+V+FUTURE+REFLEXIVE+INTERROGATIVE
: skyáahl'uu                         skyáahl+V+PLURAL+IMPERATIVE
: skyáahl'waa                        skyáahl+V+3rd_PERSON_PLURAL+IMMEDIATE+PRESENT
: skyáahl'waa                        skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+SIMPLE+PRESENT
: skyáahl'waang                      skyáahl+V+3rd_PERSON_PLURAL+SIMPLE+PRESENT
: skyáahl'wägan                      skyáahl+V+3rd_PERSON_PLURAL+DIRECT+PAST
: skyáahl'aawaa                      skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST
: skyáahl'aawaan                     skyáahl+V+3rd_PERSON_PLURAL+INDIRECT+PAST
: skyáahl'waas                       skyáahl+V+3rd_PERSON_PLURAL+RELATIVE
: skyáahl'aawaas                     skyáahl+V+3rd_PERSON_PLURAL+RELATIVE+EVIDENTIAL
: skyáahl'waa.ang                    skyáahl+V+3rd_PERSON_PLURAL+NON_FACTIVE
: skyáahl'aawaa.ang                  skyáahl+V+3rd_PERSON_PLURAL+PAST+NON_FACTIVE
: skyáahl'wägiinii                   skyáahl+V+3rd_PERSON_PLURAL+DIRECT+PAST+HABITUAL
: skyáahl'wägaangaa                  skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+PAST+HABITUAL
: skyáahl'wägaangaan                 skyáahl+V+3rd_PERSON_PLURAL+INDIRECT+PAST+HABITUAL
: skyáahl'waaäsaa                    skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+LONG
: skyáahl'waaäs                      skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+FUTURE+SHORT
: skyáahl'waaäsaang                  skyáahl+V+3rd_PERSON_PLURAL+SIMPLE+FUTURE
: skyáahl'waaäsga                    skyáahl+V+3rd_PERSON_PLURAL+IMMEDIATE+FUTURE
: skyáahl'waaäsaas                   skyáahl+V+3rd_PERSON_PLURAL+RELATIVE+FUTURE
: skyáahl'waaäsaa.ang                skyáahl+V+3rd_PERSON_PLURAL+FUTURE+NON_FACTIVE
: skyáahl'waa.ang ñasa'áa            skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+NEAR+FUTURE
: skyáahl'waa.ang ñasa'áang          skyáahl+V+3rd_PERSON_PLURAL+NEAR+FUTURE
: skyáahl'waa.ang ñasaasdláa         skyáahl+V+3rd_PERSON_PLURAL+INTERROGATIVE+VERYNEAR+FUTURE
: skyáahl'waa.ang ñasaasdláang       skyáahl+V+3rd_PERSON_PLURAL+VERYNEAR+FUTURE
: skyáahl'waa'uuj                    skyáahl+V+3rd_PERSON_PLURAL+BIASED+IMMEDIATE+PRESENT
: skyáahl'waa'uujang                 skyáahl+V+3rd_PERSON_PLURAL+BIASED+SIMPLE+PRESENT
: skyáahl'waaäsaa'uujang             skyáahl+V+3rd_PERSON_PLURAL+RESIGNED_OBLIGATION
: skyáahl'waa'us                     skyáahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PRESENT
: skyáahl'waa'ujaa                   skyáahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST
: skyáahl'waa'uujaangaa              skyáahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+PAST+HABITUAL
: skyáahl'waaäsaa'us                 skyáahl+V+3rd_PERSON_PLURAL+BIASED+INTERROGATIVE+FUTURE
: skyáahl'waa'ahlanggang             skyáahl+V+3rd_PERSON_PLURAL+CERTAIN+PRESENT
: skyáahl'waa'ahlanggan              skyáahl+V+3rd_PERSON_PLURAL+CERTAIN+PAST
: skyáahl'waa'ahlanggiinii           skyáahl+V+3rd_PERSON_PLURAL+CERTAIN+PAST+HABITUAL
: skyáahl'waaäsaa'ahlans             skyáahl+V+3rd_PERSON_PLURAL+CERTAIN+FUTURE
: skyáahl'waa'ahlans                 skyáahl+V+3rd_PERSON_PLURAL+CERTAIN+RELATIVE
: skyáahl'aawaa'ahlang               skyáahl+V+3rd_PERSON_PLURAL+INTENSIVE+PAST
: skyáahl'aawaa'ahlanggaa            skyáahl+V+3rd_PERSON_PLURAL+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: skyáahl'aawaa'ahlanggang           skyáahl+V+3rd_PERSON_PLURAL+COUNTERFACTUAL+PRESENT
: skyáahl'waa'ahl                    skyáahl+V+3rd_PERSON_PLURAL+REFLEXIVE
: skyáahl'waaäseehl                  skyáahl+V+3rd_PERSON_PLURAL+FUTURE+REFLEXIVE+INTERROGATIVE
: skyáahl'ang                        skyáahl+V+NEGATIVE+SINGULAR+IMPERATIVE
: skyáahl'angga                      skyáahl+V+NEGATIVE+IMMEDIATE+PRESENT
: skyáahl'ang                        skyáahl+V+NEGATIVE+INTERROGATIVE+SIMPLE+PRESENT
: skyáahl'anggang                    skyáahl+V+NEGATIVE+SIMPLE+PRESENT
: skyáahl'anggan                     skyáahl+V+NEGATIVE+DIRECT+PAST
: skyáahl'aangaa                     skyáahl+V+NEGATIVE+INTERROGATIVE+PAST
: skyáahl'aangaan                    skyáahl+V+NEGATIVE+INDIRECT+PAST
: skyáahl'ans                        skyáahl+V+NEGATIVE+RELATIVE
: skyáahl'aangaas                    skyáahl+V+NEGATIVE+RELATIVE+EVIDENTIAL
: skyáahl'angang                     skyáahl+V+NEGATIVE+NON_FACTIVE
: skyáahl'aangaa.ang                 skyáahl+V+NEGATIVE+PAST+NON_FACTIVE
: skyáahl'anggang                    skyáahl+V+NEGATIVE+INTERROGATIVE+PRESENT+HABITUAL
: skyáahl'anggiinii                  skyáahl+V+NEGATIVE+DIRECT+PAST+HABITUAL
: skyáahl'anggaangaa                 skyáahl+V+NEGATIVE+INTERROGATIVE+PAST+HABITUAL
: skyáahl'anggaangaan                skyáahl+V+NEGATIVE+INDIRECT+PAST+HABITUAL
: skyáahl'angäsaa                    skyáahl+V+NEGATIVE+INTERROGATIVE+FUTURE+LONG
: skyáahl'angäs                      skyáahl+V+NEGATIVE+INTERROGATIVE+FUTURE+SHORT
: skyáahl'angäsaang                  skyáahl+V+NEGATIVE+SIMPLE+FUTURE
: skyáahl'angäsga                    skyáahl+V+NEGATIVE+IMMEDIATE+FUTURE
: skyáahl'angäsaas                   skyáahl+V+NEGATIVE+RELATIVE+FUTURE
: skyáahl'angäsaa.ang                skyáahl+V+NEGATIVE+FUTURE+NON_FACTIVE
: skyáahlang ñasaa'áng               skyáahl+V+NEGATIVE+INTERROGATIVE+NEAR+FUTURE
: skyáahlang ñasaa'ánggang           skyáahl+V+NEGATIVE+NEAR+FUTURE
: skyáahlang ñasaasdlä'áng           skyáahl+V+NEGATIVE+INTERROGATIVE+VERYNEAR+FUTURE
: skyáahlang ñasaasdlä'ánggang       skyáahl+V+NEGATIVE+VERYNEAR+FUTURE
: skyáahl'ang'uuj                    skyáahl+V+NEGATIVE+BIASED+IMMEDIATE+PRESENT
: skyáahl'ang'uujang                 skyáahl+V+NEGATIVE+BIASED+SIMPLE+PRESENT
: skyáahl'angäsaa'uujang             skyáahl+V+NEGATIVE+RESIGNED_OBLIGATION
: skyáahl'ang'us                     skyáahl+V+NEGATIVE+BIASED+INTERROGATIVE+PRESENT
: skyáahl'ang'ujaa                   skyáahl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST
: skyáahl'ang'uujaangaa              skyáahl+V+NEGATIVE+BIASED+INTERROGATIVE+PAST+HABITUAL
: skyáahl'angäsaa'us                 skyáahl+V+NEGATIVE+BIASED+INTERROGATIVE+FUTURE
: skyáahl'aang'ahlanggang            skyáahl+V+NEGATIVE+CERTAIN+PRESENT
: skyáahl'aang'ahlanggan             skyáahl+V+NEGATIVE+CERTAIN+PAST
: skyáahl'aang'ahlanggiinii          skyáahl+V+NEGATIVE+CERTAIN+PAST+HABITUAL
: skyáahl'angäsaa'ahlans             skyáahl+V+NEGATIVE+CERTAIN+FUTURE
: skyáahl'aang'ahlans                skyáahl+V+NEGATIVE+CERTAIN+RELATIVE
: skyáahl'aangaa'ahlang              skyáahl+V+NEGATIVE+INTENSIVE+PAST
: skyáahl'aangaa'ahlanggaa           skyáahl+V+NEGATIVE+SHOULD_KEEP_ON_VERBING_FOR_A_WHILE
: skyáahl'aangaa'ahlanggang          skyáahl+V+NEGATIVE+COUNTERFACTUAL+PRESENT
